symbol,name,sector,industry,quote_currency,financial_currency,market_cap,previous_close,daily_price_valid,price_date,statement_period,statement_age_days,fundamental_fetched_at,source_warnings,dollar_volume_20d,revenue_yoy,revenue_per_share_yoy,revenue_acceleration,gross_profit_assets,cfo_assets,operating_margin_change,fcf_margin,eps_revision_30d,revision_breadth_30d,momentum_12_1,near_52w_high,path_continuity,sales_to_ev,volatility_60d,drawdown_252d,dilution_yoy,above_sma200,intraday_available,flags,exclusions,growth_score,quality_score,expectations_score,momentum_score,valuation_score,coverage,confidence,raw_score,score,drivers,eligible,demo
DEMO15,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Consumer,Synthetic,USD,USD,16000000000.0,76,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,48000000.0,0.6799999999999999,0.6033333333333334,0.11999999999999998,0.8966666666666667,0.29666666666666663,0.074,0.2733333333333333,0.11799999999999998,0.7133333333333334,0.6966666666666667,0.98,0.11999999999999998,0.14200000000000002,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,100.0,100.0,100.0,100.0,100.0,1.0,HIGH,100.0,100.0,eps_revision_30d | momentum_12_1 | revenue_yoy,True,True
DEMO16,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Software,Synthetic,USD,USD,17000000000.0,80,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,50000000.0,0.72,0.64,0.13,0.9500000000000001,0.31999999999999995,0.08,0.30000000000000004,0.13,0.8,0.75,1.0,0.13,0.15,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,100.0,100.0,100.0,100.0,100.0,1.0,HIGH,100.0,100.0,eps_revision_30d | momentum_12_1 | revenue_yoy,True,True
DEMO13,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Consumer,Synthetic,USD,USD,14000000000.0,68,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,44000000.0,0.6,0.53,0.09999999999999999,0.7900000000000001,0.24999999999999997,0.06199999999999999,0.22000000000000006,0.09399999999999999,0.54,0.5900000000000001,0.94,0.09999999999999999,0.126,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,85.71,85.71,85.71,85.71,85.71,1.0,HIGH,85.71,85.71,eps_revision_30d | momentum_12_1 | revenue_yoy,True,True
DEMO14,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Software,Synthetic,USD,USD,15000000000.0,72,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,46000000.0,0.64,0.5666666666666668,0.11,0.8433333333333334,0.2733333333333333,0.068,0.24666666666666667,0.106,0.6266666666666667,0.6433333333333333,0.96,0.11,0.134,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,85.71,85.71,85.71,85.71,85.71,1.0,HIGH,85.71,85.71,eps_revision_30d | momentum_12_1 | revenue_yoy,True,True
DEMO11,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Consumer,Synthetic,USD,USD,12000000000.0,60,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,40000000.0,0.52,0.45666666666666667,0.07999999999999999,0.6833333333333333,0.2033333333333333,0.049999999999999996,0.16666666666666666,0.06999999999999999,0.3666666666666667,0.48333333333333334,0.8999999999999999,0.07999999999999999,0.10999999999999999,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,71.43,71.43,71.43,71.43,71.43,1.0,HIGH,71.43,71.43,eps_revision_30d | momentum_12_1 | revenue_yoy,True,True
DEMO12,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Software,Synthetic,USD,USD,13000000000.0,64,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,42000000.0,0.5599999999999999,0.4933333333333333,0.08999999999999998,0.7366666666666667,0.22666666666666666,0.05599999999999999,0.19333333333333333,0.08199999999999998,0.45333333333333325,0.5366666666666666,0.9199999999999999,0.08999999999999998,0.118,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,71.43,71.43,71.43,71.43,71.43,1.0,HIGH,71.43,71.43,eps_revision_30d | momentum_12_1 | revenue_yoy,True,True
DEMO09,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Consumer,Synthetic,USD,USD,10000000000.0,52,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,36000000.0,0.44,0.3833333333333333,0.06,0.5766666666666667,0.15666666666666665,0.038,0.11333333333333334,0.046,0.19333333333333336,0.3766666666666667,0.86,0.06,0.094,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,57.14,57.14,57.14,57.14,57.14,1.0,HIGH,57.14,57.14,eps_revision_30d | momentum_12_1 | revenue_yoy,True,True
DEMO10,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Software,Synthetic,USD,USD,11000000000.0,56,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,38000000.0,0.48,0.42000000000000004,0.06999999999999999,0.63,0.18,0.044,0.13999999999999999,0.057999999999999996,0.28,0.43,0.8799999999999999,0.06999999999999999,0.102,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,57.14,57.14,57.14,57.14,57.14,1.0,HIGH,57.14,57.14,eps_revision_30d | momentum_12_1 | revenue_yoy,True,True
DEMO07,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Consumer,Synthetic,USD,USD,8000000000.0,44,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,32000000.0,0.36,0.31000000000000005,0.039999999999999994,0.4700000000000001,0.10999999999999999,0.025999999999999995,0.060000000000000026,0.021999999999999992,0.020000000000000018,0.2700000000000001,0.82,0.039999999999999994,0.078,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,42.86,42.86,42.86,42.86,42.86,1.0,HIGH,42.86,42.86,,True,True
DEMO08,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Software,Synthetic,USD,USD,9000000000.0,48,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,34000000.0,0.39999999999999997,0.3466666666666667,0.04999999999999999,0.5233333333333333,0.13333333333333333,0.031999999999999994,0.08666666666666667,0.03399999999999999,0.10666666666666669,0.32333333333333336,0.84,0.04999999999999999,0.086,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,42.86,42.86,42.86,42.86,42.86,1.0,HIGH,42.86,42.86,,True,True
DEMO05,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Consumer,Synthetic,USD,USD,6000000000.0,36,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,28000000.0,0.28,0.23666666666666666,0.02,0.36333333333333334,0.06333333333333332,0.014,0.006666666666666668,-0.0020000000000000018,-0.15333333333333332,0.16333333333333333,0.7799999999999999,0.02,0.062,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,28.57,28.57,28.57,28.57,28.57,1.0,HIGH,28.57,28.57,,True,True
DEMO06,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Software,Synthetic,USD,USD,7000000000.0,40,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,30000000.0,0.31999999999999995,0.2733333333333333,0.029999999999999995,0.41666666666666663,0.08666666666666666,0.019999999999999997,0.033333333333333326,0.009999999999999995,-0.06666666666666665,0.21666666666666667,0.7999999999999999,0.029999999999999995,0.06999999999999999,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED,,28.57,28.57,28.57,28.57,28.57,1.0,HIGH,28.57,28.57,,True,True
DEMO03,SYNTHETIC COMPANY - NOT A REAL SECURITY,Demo Consumer,Synthetic,USD,USD,4000000000.0,28,True,2026-09-04,SYNTHETIC_PERIOD,65,2026-09-08T11:06:03.602015+00:00,,24000000.0,0.2,0.16333333333333333,0.0,0.25666666666666665,0.016666666666666663,0.002,-0.04666666666666667,-0.026000000000000002,-0.32666666666666666,0.05666666666666667,0.74,0.0,0.046,0.38,-0.1,0.02,True,False,EPS_PERIOD_ROLLOVER_NOT_INDEPENDENTLY_VERIFIED | NEGATIVE_FCF,,14.29,14.29,14.29,14.29,14.29,1.0,HIGH,14.29,14.29,,True,True
